"序号","海报ID","电影标题","年份","导演","类型","海报URL","AI Chat Prompt","AI Draw Prompt","人物景别","人物位置","事件","年代","场景","风格","氛围","色调","构图"
"1","inception","Inception","2010","Christopher Nolan","Action / Sci-Fi","https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqNgAvMoWPI6Pw16s.jpg","一张电影级海报，现代城市街道场景，高楼林立，其中一侧城市向天空垂直折叠，形成不可能的空间结构，超现实建筑，梦境般的城市，画面为广角透视，中心构图，街道中间站着5-6个穿西装的人物，神情严肃，彼此分散站位，前景中央为主角，手持手枪，事件表现为梦境盗取行动中的城市空间崩塌，电影感群像，整体氛围冷色调，蓝绿色为主，轻微雾气，体积光，强对比阴影，光线从街道尽头射入，层次分明，好莱坞大片风格，IMAX质感，超清细节，真实质感，景深，8K，电影灯光。","AI Draw 逆向工程《Inception》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：当代
场景：城市
风格：超现实
氛围：悬疑
色调：冷蓝
构图：对角线构图
事件维度固定留空，由用户自填。","中景","中间","","当代","城市","超现实","悬疑","冷蓝","对角线构图"
"2","the-matrix","The Matrix","1999","Lana Wachowski / Lilly Wachowski","Action / Sci-Fi","https://image.tmdb.org/t/p/w500/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg","一张电影级海报，未来赛博城市与虚拟系统空间场景，黑色背景中下落绿色代码雨，湿冷街道和高楼形成垂直压迫，中心站着一位穿黑色长风衣和墨镜的人物，身后有2-3名反抗者剪影，事件表现为主角觉醒并准备突破虚拟世界，中心对称构图，中景人物，冷绿色与深黑色调，高反差霓虹边缘光，压迫、神秘、反乌托邦氛围，赛博朋克动作片风格，电影灯光，真实皮革质感，超清细节，8K。","AI Draw 逆向工程《The Matrix》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：未来
场景：城市
风格：赛博
氛围：压迫
色调：冷调
构图：中心对称构图
事件维度固定留空，由用户自填。","中景","中间","","未来","城市","赛博","压迫","冷调","中心对称构图"
"3","parasite","Parasite","2019","Bong Joon-ho","Black Comedy / Thriller","https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg","一张电影级海报，当代豪宅庭院与半地下住宅对照场景，修剪整齐的草坪、玻璃建筑和阴影中的贫困空间上下分割，人物为几位家庭成员，分散站在画面中间，眼部被黑色横条遮挡，神情克制而不安，事件表现为两个阶层家庭互相渗透并隐藏秘密，构图为上下分割与冷静群像，写实社会惊悚风格，低饱和冷调色调，阳光表面温和但阴影沉重，压抑、讽刺、危险氛围，清晰建筑线条，电影级质感，细节丰富，8K。","AI Draw 逆向工程《Parasite》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：全景
人物位置：中间
事件：（用户自填）
年代：当代
场景：公寓
风格：写实
氛围：压抑
色调：冷调
构图：上下分割构图
事件维度固定留空，由用户自填。","全景","中间","","当代","公寓","写实","压抑","冷调","上下分割构图"
"4","spirited-away","Spirited Away","2001","Hayao Miyazaki","Fantasy / Animation","https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg","一张电影级海报，动画质感，千禧年代感的异世界浴场与宫殿街道场景，夜幕中灯笼和蒸汽铺满画面，一位少女站在桥上或入口中央，身旁有半透明神灵、白龙剪影和奇异面具角色，事件表现为少女误入神灵世界并寻找回家的路，满版构图，人物中间偏小，被巨大建筑和灯火包围，手绘动漫风格，暖黄色调与深蓝夜色对比，神秘、温暖、冒险氛围，丰富细节，柔和体积光，电影感景深，8K。","AI Draw 逆向工程《Spirited Away》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：全景
人物位置：中间
事件：（用户自填）
年代：千禧
场景：宫廷
风格：动漫
氛围：神秘
色调：暖调
构图：满版型构图
事件维度固定留空，由用户自填。","全景","中间","","千禧","宫廷","动漫","神秘","暖调","满版型构图"
"5","the-godfather","The Godfather","1972","Francis Ford Coppola","Crime / Drama","https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg","一张电影级海报，现代黑帮家族书房或暗色公寓场景，黑色背景中只有顶光照亮一位年长男性的脸和西装领口，人物位于画面中心，近景特写，手部隐约握着权力象征道具，事件表现为家族首领在阴影中做出命运交易，特写面部构图，写实黑帮史诗风格，深黑与暖白低调色调，肃穆、压迫、权力感氛围，大面积留白，强对比阴影，细腻皮肤纹理，电影灯光，8K。","AI Draw 逆向工程《The Godfather》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：近景
人物位置：中间
事件：（用户自填）
年代：现代
场景：公寓
风格：写实
氛围：肃穆
色调：暗调
构图：特写面部构图
事件维度固定留空，由用户自填。","近景","中间","","现代","公寓","写实","肃穆","暗调","特写面部构图"
"6","pulp-fiction","Pulp Fiction","1994","Quentin Tarantino","Crime / Drama","https://image.tmdb.org/t/p/w500/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg","一张电影级海报，九十年代廉价小说封面质感的公寓或旅馆房间场景，暖黄旧纸色背景，一位黑发女性躺在床上或地毯上，手边有香烟、书本和手枪道具，眼神挑衅，事件表现为犯罪故事即将失控的瞬间，三分法构图，中景人物，胶片犯罪风格，胶片颗粒与复古印刷质感，暖黄、红黑阴影色调，诡异、危险、黑色幽默氛围，低机位视角，锐利轮廓光，真实质感，8K。","AI Draw 逆向工程《Pulp Fiction》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：九十年代
场景：公寓
风格：胶片
氛围：诡异
色调：暖黄
构图：三分法构图
事件维度固定留空，由用户自填。","中景","中间","","九十年代","公寓","胶片","诡异","暖黄","三分法构图"
"7","the-dark-knight","The Dark Knight","2008","Christopher Nolan","Action / Crime","https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911BTUgMe1ccAUJ.jpg","一张电影级海报，当代城市夜景和燃烧街区场景，高楼玻璃幕墙在冷蓝夜色中坍塌或冒烟，中心站着一位披黑色披风的孤独英雄剪影，背后远处有火焰形成抽象符号，事件表现为城市陷入犯罪危机而守护者独自面对混乱，中心对称构图，中景人物，写实超级英雄犯罪史诗风格，冷蓝色调配橙色火光，高压、压迫、悲壮氛围，强对比阴影，雨雾，电影灯光，IMAX质感，8K。","AI Draw 逆向工程《The Dark Knight》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：当代
场景：城市
风格：写实
氛围：压迫
色调：冷蓝
构图：中心对称构图
事件维度固定留空，由用户自填。","中景","中间","","当代","城市","写实","压迫","冷蓝","中心对称构图"
"8","la-la-land","La La Land","2016","Damien Chazelle","Musical / Romance","https://image.tmdb.org/t/p/w500/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg","一张电影级海报，当代洛杉矶山顶街道或夜色观景台场景，远处城市灯海和紫蓝天空铺开，一男一女在画面中央跳舞，动作舒展，像舞台剪影，事件表现为两位追梦者在城市夜晚坠入浪漫歌舞瞬间，对角线构图，全景人物，写实歌舞爱情片风格，蓝紫色调配暖黄路灯，浪漫、轻盈、怀旧氛围，柔和聚光，细腻颗粒，清晰天际线，电影灯光，8K。","AI Draw 逆向工程《La La Land》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：全景
人物位置：中间
事件：（用户自填）
年代：当代
场景：城市
风格：写实
氛围：浪漫
色调：蓝调
构图：对角线构图
事件维度固定留空，由用户自填。","全景","中间","","当代","城市","写实","浪漫","蓝调","对角线构图"
"9","mad-max-fury-road","Mad Max: Fury Road","2015","George Miller","Action / Adventure","https://image.tmdb.org/t/p/w500/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg","一张电影级海报，未来末日沙漠战场场景，橙色沙尘暴覆盖天空，改装战车从地平线冲出，中心人物穿破旧战斗服站在车队前方，身旁有光头女战士和幸存者剪影，事件表现为末日车队高速追逐与荒漠逃亡，满版构图，中景群像，写实动作大片风格，青橙强对比色调，热血、狂暴、危险氛围，爆炸火光，飞扬尘土，金属机械细节，强烈动势，IMAX质感，8K。","AI Draw 逆向工程《Mad Max: Fury Road》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：未来
场景：沙漠
风格：写实
氛围：热血
色调：青橙
构图：满版型构图
事件维度固定留空，由用户自填。","中景","中间","","未来","沙漠","写实","热血","青橙","满版型构图"
"10","arrival","Arrival","2016","Denis Villeneuve","Drama / Sci-Fi","https://image.tmdb.org/t/p/w500/x2FJsf1ElAgr63Y3PNPtJrcmpoe.jpg","一张电影级海报，未来草原与雾气山谷场景，巨大的黑色椭圆外星飞行物垂直悬停在地平线上，低空有直升机和小型车队，一位女性语言学家和一名男性科学家站在前景右侧，军人位于下方，事件表现为人类第一次接触未知文明，左右分割构图，中景人物，超现实极简科幻风格，青橙与冷灰色调，压迫、静默、神秘氛围，厚重云层，体积雾，逆光轮廓，真实质感，8K，电影灯光。","AI Draw 逆向工程《Arrival》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：下方
事件：（用户自填）
年代：未来
场景：草原
风格：超现实
氛围：压迫
色调：青橙
构图：左右分割构图
事件维度固定留空，由用户自填。","中景","下方","","未来","草原","超现实","压迫","青橙","左右分割构图"
"11","blade-runner-2049","Blade Runner 2049","2017","Denis Villeneuve","Sci-Fi / Neo-Noir","https://image.tmdb.org/t/p/w500/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg","一张电影级海报，未来赛博都市与荒原交界场景，一侧是冷蓝雨夜霓虹城市，一侧是橙色沙尘废墟，右侧站着穿长外套的孤独男性人物，远处有巨大女性全息影像和飞行器光点，事件表现为复制人与侦探追寻身份真相，左右分割构图，中景人物，赛博黑色电影风格，青橙色调，孤寂、迷离、压迫氛围，雨雾、尘雾和硬质边缘光，真实质感，超清细节，8K。","AI Draw 逆向工程《Blade Runner 2049》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：右侧
事件：（用户自填）
年代：未来
场景：城市
风格：赛博
氛围：孤寂
色调：青橙
构图：左右分割构图
事件维度固定留空，由用户自填。","中景","右侧","","未来","城市","赛博","孤寂","青橙","左右分割构图"
"12","interstellar","Interstellar","2014","Christopher Nolan","Adventure / Sci-Fi","https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg","一张电影级海报，未来太空与荒凉冰原或星球地表场景，巨大黑洞或星体悬在天空，宇航员穿白色宇航服站在画面中央偏下，人物在宇宙尺度中显得渺小，事件表现为人类穿越星际寻找新家园，留白型构图，远景人物，写实硬科幻史诗风格，冷蓝与银白色调，孤独、史诗、敬畏氛围，低地平线，柔和星光，体积雾，电影级景深，IMAX质感，8K。","AI Draw 逆向工程《Interstellar》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：远景
人物位置：中间
事件：（用户自填）
年代：未来
场景：太空
风格：写实
氛围：史诗
色调：冷蓝
构图：留白型构图
事件维度固定留空，由用户自填。","远景","中间","","未来","太空","写实","史诗","冷蓝","留白型构图"
"13","everything-everywhere-all-at-once","Everything Everywhere All at Once","2022","Dan Kwan / Daniel Scheinert","Action / Comedy","https://image.tmdb.org/t/p/w500/w3LxiVYdWWRvEVdn5RYq6jIqkb1.jpg","一张电影级海报，当代城市洗衣店与多元宇宙拼贴场景，中心女性人物被旋涡状宇宙光环包围，周围漂浮着不同身份版本的人物、道具、眼睛符号、武术动作和家庭生活碎片，事件表现为普通家庭被卷入多元宇宙危机，满版构图，中景群像，超现实喜剧动作风格，高饱和彩虹与霓虹色调，荒诞、搞笑、热闹又情绪化的氛围，层次密集，动感光轨，超清细节，8K，电影灯光。","AI Draw 逆向工程《Everything Everywhere All at Once》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：当代
场景：城市
风格：超现实
氛围：搞笑
色调：高饱和
构图：满版型构图
事件维度固定留空，由用户自填。","中景","中间","","当代","城市","超现实","搞笑","高饱和","满版型构图"
"14","dune","Dune","2021","Denis Villeneuve","Adventure / Sci-Fi","https://image.tmdb.org/t/p/w500/d5NXSklXo0qyIYkgV94XAgMIckC.jpg","一张电影级海报，未来沙漠星球场景，巨大的沙丘和远处行星天空压住画面，中心站着年轻王子、女性战士与家族成员群像，前景有沙尘和武器，远处隐约出现巨型沙虫痕迹，事件表现为预言之子踏入沙漠命运，中心对称构图，中近景人物，写实太空史诗风格，暖黄低饱和沙色调，史诗、肃穆、压迫氛围，逆光尘埃，宏大尺度，IMAX质感，真实服装纹理，8K。","AI Draw 逆向工程《Dune》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中近景
人物位置：中间
事件：（用户自填）
年代：未来
场景：沙漠
风格：写实
氛围：史诗
色调：暖黄
构图：中心对称构图
事件维度固定留空，由用户自填。","中近景","中间","","未来","沙漠","写实","史诗","暖黄","中心对称构图"
"15","dune-part-two","Dune: Part Two","2024","Denis Villeneuve","Adventure / Sci-Fi","https://image.tmdb.org/t/p/w500/8b8R8l88Qje9dn9OE8PY05Nez7S.jpg","一张电影级海报，未来沙漠战场场景，橙色尘暴和烈日充满天空，中心人物披斗篷站在沙丘前，身旁有女性战士和不同阵营人物，远处军队与巨型沙虫形成战争轮廓，事件表现为沙漠民族发动圣战前的集结，满版构图，中景群像，写实科幻史诗风格，暖黄与深黑阴影色调，压迫、热烈、宗教史诗氛围，硬光、飞沙、强对比轮廓，IMAX质感，超清细节，8K。","AI Draw 逆向工程《Dune: Part Two》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：未来
场景：沙漠
风格：写实
氛围：压迫
色调：暖黄
构图：满版型构图
事件维度固定留空，由用户自填。","中景","中间","","未来","沙漠","写实","压迫","暖黄","满版型构图"
"16","the-grand-budapest-hotel","The Grand Budapest Hotel","2014","Wes Anderson","Comedy / Adventure","https://image.tmdb.org/t/p/w500/eWDyPHPaMhnifINySDVHlBRxGDd.jpg","一张电影级海报，昭和复古感的欧洲山间酒店场景，粉紫色大酒店正面占据画面中央，建筑像精致舞台模型，门口站着穿制服的礼宾员和年轻门童，窗户里有客人剪影，事件表现为一场荒诞遗产案件从豪华酒店展开，中心对称构图，全景人物，极简复古喜剧风格，莫兰迪粉、紫、红色调，搞笑、优雅、童话感氛围，平面化光线，干净边缘，微缩景观质感，8K。","AI Draw 逆向工程《The Grand Budapest Hotel》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：全景
人物位置：中间
事件：（用户自填）
年代：昭和
场景：宫廷
风格：极简
氛围：搞笑
色调：莫兰迪
构图：中心对称构图
事件维度固定留空，由用户自填。","全景","中间","","昭和","宫廷","极简","搞笑","莫兰迪","中心对称构图"
"17","her","Her","2013","Spike Jonze","Drama / Romance","https://image.tmdb.org/t/p/w500/eCOtqtfvn7mxGl6nfmq4b1exJRc.jpg","一张电影级海报，柔和未来公寓与城市室内场景，大面积红色背景或暖色墙面，人物为一位孤独男性，戴着耳机站在画面中心，近景脸部温柔而失神，窗外是低饱和未来城市，事件表现为人与无形人工智能建立亲密关系，特写面部构图，写实温柔科幻爱情风格，红黑与暖橙色调，孤寂、亲密、安静氛围，浅景深，柔光，细腻皮肤质感，大面积留白，8K，电影灯光。","AI Draw 逆向工程《Her》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：近景
人物位置：中间
事件：（用户自填）
年代：未来
场景：公寓
风格：写实
氛围：孤寂
色调：红黑
构图：特写面部构图
事件维度固定留空，由用户自填。","近景","中间","","未来","公寓","写实","孤寂","红黑","特写面部构图"
"18","get-out","Get Out","2017","Jordan Peele","Horror / Thriller","https://image.tmdb.org/t/p/w500/tFXcEccSQMf3lfhfXKSU9iRBpa3.jpg","一张电影级海报，当代郊区别墅或黑暗房间场景，背景几乎被阴影吞没，中心人物是一位年轻男性惊恐的脸部近景，眼睛睁大，脸上有泪光，身体像被困在黑暗空间中，事件表现为主角意识到自己被操控并试图逃离，特写面部构图，写实心理恐怖风格，暗调黑蓝色调，高反差阴影，悬疑、压迫、不安氛围，聚焦眼神，细微冷光，真实质感，8K。","AI Draw 逆向工程《Get Out》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：近景
人物位置：中间
事件：（用户自填）
年代：当代
场景：公寓
风格：写实
氛围：悬疑
色调：暗调
构图：特写面部构图
事件维度固定留空，由用户自填。","近景","中间","","当代","公寓","写实","悬疑","暗调","特写面部构图"
"19","black-swan","Black Swan","2010","Darren Aronofsky","Drama / Thriller","https://image.tmdb.org/t/p/w500/lBIaRFljS6jMEkuZxjyIuD6pQkT.jpg","一张电影级海报，当代芭蕾舞台与黑暗后台场景，中心人物是一位芭蕾舞者的脸部特写，白色舞妆、黑色眼妆和羽毛纹理融合在皮肤上，嘴唇带深红色，事件表现为舞者在完美表演中走向心理分裂，特写面部构图，写实舞台惊悚风格，黑白色调配红色点缀，诡异、优雅、危险氛围，极简背景，强聚光，裂纹细节，清晰皮肤与羽毛质感，8K。","AI Draw 逆向工程《Black Swan》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：特写
人物位置：中间
事件：（用户自填）
年代：当代
场景：宫廷
风格：写实
氛围：诡异
色调：黑白
构图：特写面部构图
事件维度固定留空，由用户自填。","特写","中间","","当代","宫廷","写实","诡异","黑白","特写面部构图"
"20","moonlight","Moonlight","2016","Barry Jenkins","Coming-of-Age / Drama","https://image.tmdb.org/t/p/w500/4911T5FbGnrgS39Py8VFSTMa5ag.jpg","一张电影级海报，当代迈阿密城市夜晚与海边街区场景，中心人物以一张男性面孔呈现，被分成三个成长阶段的蓝色拼贴，眼神安静而克制，背景有月光、海水和低矮住宅轮廓，事件表现为一个人在成长中寻找身份、爱与自我，特写面部构图，写实诗意现实主义风格，蓝调与紫色低照度色调，孤寂、温柔、沉默氛围，柔和月光，浅景深，细腻颗粒，8K，电影灯光。","AI Draw 逆向工程《Moonlight》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：近景
人物位置：中间
事件：（用户自填）
年代：当代
场景：城市
风格：写实
氛围：孤寂
色调：蓝调
构图：特写面部构图
事件维度固定留空，由用户自填。","近景","中间","","当代","城市","写实","孤寂","蓝调","特写面部构图"
"21","whiplash","Whiplash","2014","Damien Chazelle","Drama / Music","https://image.tmdb.org/t/p/w500/7fn624j5lj3xTme2SgiLCeuedmO.jpg","一张电影级海报，当代音乐学院排练室或爵士舞台场景，黑暗背景中一位年轻鼓手坐在架子鼓前，汗水和鼓槌动作被暖色聚光照亮，远处有严厉导师的阴影，事件表现为极限训练和音乐竞争爆发前的瞬间，留白型构图，中景人物，写实音乐剧情片风格，暖黄和深黑色调，压迫、热血、紧绷氛围，强聚光，飞散汗水，乐器金属质感，电影灯光，8K。","AI Draw 逆向工程《Whiplash》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：当代
场景：校园
风格：写实
氛围：压迫
色调：暖黄
构图：留白型构图
事件维度固定留空，由用户自填。","中景","中间","","当代","校园","写实","压迫","暖黄","留白型构图"
"22","the-social-network","The Social Network","2010","David Fincher","Biographical / Drama","https://image.tmdb.org/t/p/w500/n0ybibhJtQ5icDqTp8eRhckkIRn.jpg","一张电影级海报，当代大学校园与玻璃办公室场景，冷蓝屏幕光覆盖一位年轻创业者的脸部近景，背景隐约有代码、社交网络界面和法律文件纹理，人物站在画面中心，表情冷静疏离，事件表现为社交平台崛起伴随背叛与诉讼，特写面部构图，写实商业传记风格，冷蓝灰色调，孤寂、克制、审判感氛围，玻璃反射，浅景深，高级冷光，真实质感，8K。","AI Draw 逆向工程《The Social Network》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：近景
人物位置：中间
事件：（用户自填）
年代：当代
场景：校园
风格：写实
氛围：孤寂
色调：冷蓝
构图：特写面部构图
事件维度固定留空，由用户自填。","近景","中间","","当代","校园","写实","孤寂","冷蓝","特写面部构图"
"23","no-country-for-old-men","No Country for Old Men","2007","Ethan Coen / Joel Coen","Crime / Thriller","https://image.tmdb.org/t/p/w500/bj1v6YKF8yHqA489GFfAWUFwnRl.jpg","一张电影级海报，西部荒漠公路与汽车旅馆边缘场景，褪色黄昏光铺在空旷地平线，左侧站着持猎枪或气瓶武器的沉默追猎者，远处有逃亡者和警长剪影，事件表现为一场金钱引发的追杀横穿荒原，留白型构图，中景人物，写实犯罪西部惊悚风格，暖黄褪色色调，压迫、宿命、荒凉氛围，粗粝胶片颗粒，长阴影，风尘，真实质感，8K。","AI Draw 逆向工程《No Country for Old Men》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：左侧
事件：（用户自填）
年代：西部
场景：沙漠
风格：写实
氛围：压迫
色调：暖黄褪色
构图：留白型构图
事件维度固定留空，由用户自填。","中景","左侧","","西部","沙漠","写实","压迫","暖黄褪色","留白型构图"
"24","the-shape-of-water","The Shape of Water","2017","Guillermo del Toro","Fantasy / Romance","https://image.tmdb.org/t/p/w500/k4FwHlMhuRR5zp2nanL0iMZdKpB.jpg","一张电影级海报，冷战年代实验室与水下空间交叠场景，青绿色水光包围画面，一位女性与神秘水生人形生物在水中相拥漂浮，周围有气泡、玻璃水箱和复古实验设备，事件表现为孤独清洁工与被囚禁生物秘密相爱，中心对称构图，中景人物，超现实复古童话风格，森系青绿与深蓝色调，浪漫、神秘、危险氛围，水波体积光，漂浮感，真实质感，8K。","AI Draw 逆向工程《The Shape of Water》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：冷战
场景：深海
风格：超现实
氛围：浪漫
色调：森系
构图：中心对称构图
事件维度固定留空，由用户自填。","中景","中间","","冷战","深海","超现实","浪漫","森系","中心对称构图"
"25","pans-labyrinth","Pan's Labyrinth","2006","Guillermo del Toro","Fantasy / War","https://image.tmdb.org/t/p/w500/sOBQymVsZrTB5v01v5faocu8IhG.jpg","一张电影级海报，冷战阴影下的森林与古老迷宫场景，石质拱门和扭曲树根形成天然框架，一位小女孩站在画面中央，手持小书或钥匙，身后有鹿角怪物和阴影中的战争士兵，事件表现为女孩进入黑暗童话世界完成试炼，框架式构图，中景人物，超现实黑暗奇幻风格，暗调蓝绿色调配暖金点光，神秘、阴森、寓言氛围，雾气，树影，烛光，细节丰富，8K。","AI Draw 逆向工程《Pan's Labyrinth》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：冷战
场景：森林
风格：超现实
氛围：神秘
色调：暗调
构图：框架式构图
事件维度固定留空，由用户自填。","中景","中间","","冷战","森林","超现实","神秘","暗调","框架式构图"
"26","amelie","Amelie","2001","Jean-Pierre Jeunet","Comedy / Romance","https://image.tmdb.org/t/p/w500/nSxDr3pPlnPCMx6lVMfmSQhibbo.jpg","一张电影级海报，现代巴黎街角咖啡馆与复古公寓场景，红绿色室内布景温暖鲜明，一位短发年轻女性位于画面中央近景，带着狡黠微笑，周围有水果摊、相框、旧照片和小物件，事件表现为她用奇想方式改变陌生人的生活，中心对称构图，近景人物，胶片法式浪漫喜剧风格，暖黄、红、绿色调，温馨、俏皮、怀旧氛围，柔和灯光，轻微颗粒，真实质感，8K。","AI Draw 逆向工程《Amelie》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：近景
人物位置：中间
事件：（用户自填）
年代：现代
场景：城市
风格：胶片
氛围：温馨
色调：暖黄
构图：中心对称构图
事件维度固定留空，由用户自填。","近景","中间","","现代","城市","胶片","温馨","暖黄","中心对称构图"
"27","crouching-tiger-hidden-dragon","Crouching Tiger, Hidden Dragon","2000","Ang Lee","Action / Romance","https://image.tmdb.org/t/p/w500/iNDDKxvGMCseQiM7mHBhdOJTiPj.jpg","一张电影级海报，古代武侠竹林与东方山水场景，高耸竹子形成冷绿色纵深，两位持剑侠客在空中或竹梢间交错飞掠，中央有女性剑客身姿轻盈，事件表现为围绕名剑和压抑情感展开的江湖追逐，对角线构图，全景人物，水墨武侠风格，森系冷绿与淡青色调，自由、诗意、克制氛围，飘逸衣袂，雾气留白，动势清晰，电影灯光，8K。","AI Draw 逆向工程《Crouching Tiger, Hidden Dragon》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：全景
人物位置：中间
事件：（用户自填）
年代：武侠
场景：森林
风格：水墨
氛围：自由
色调：森系
构图：对角线构图
事件维度固定留空，由用户自填。","全景","中间","","武侠","森林","水墨","自由","森系","对角线构图"
"28","the-fellowship-of-the-ring","The Lord of the Rings: The Fellowship of the Ring","2001","Peter Jackson","Adventure / Fantasy","https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg","一张电影级海报，中世纪奇幻森林与远山场景，古老道路从前景通向迷雾山脉，中央站着远征小队群像，人物为矮人、精灵、巫师和年轻旅人分层排列，前景有发光戒指符号，事件表现为护戒队踏上拯救世界的旅程，满版构图，中景群像，写实史诗奇幻风格，暖金色调配冷蓝阴影，史诗、冒险、命运召唤氛围，层次丰富，体积光，真实服装与武器质感，8K。","AI Draw 逆向工程《The Lord of the Rings: The Fellowship of the Ring》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：中世纪
场景：森林
风格：写实
氛围：史诗
色调：暖调
构图：满版型构图
事件维度固定留空，由用户自填。","中景","中间","","中世纪","森林","写实","史诗","暖调","满版型构图"
"29","the-silence-of-the-lambs","The Silence of the Lambs","1991","Jonathan Demme","Crime / Horror","https://image.tmdb.org/t/p/w500/uS9m8OBk1RVfUPvLCFZfRYjfTMQ.jpg","一张电影级海报，九十年代警局与心理审讯空间场景，苍白背景中女性调查员人物的脸部极近特写位于中心，嘴部前方停着带骷髅纹的飞蛾符号，眼神冷静但恐惧，事件表现为调查员进入连环杀手心理迷宫，特写面部构图，写实心理犯罪惊悚风格，暗调、灰白与冷蓝色调，阴森、静默、悬疑氛围，极简留白，锐利对焦，细腻皮肤纹理，8K，电影灯光。","AI Draw 逆向工程《The Silence of the Lambs》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：特写
人物位置：中间
事件：（用户自填）
年代：九十年代
场景：警局
风格：写实
氛围：阴森
色调：暗调
构图：特写面部构图
事件维度固定留空，由用户自填。","特写","中间","","九十年代","警局","写实","阴森","暗调","特写面部构图"
"30","fight-club","Fight Club","1999","David Fincher","Drama / Thriller","https://image.tmdb.org/t/p/w500/pB8BM7pdSp6B6Ih7QI4S2t0POtL.jpg","一张电影级海报，九十年代都市地下室与广告灯箱场景，潮湿水泥墙、粉色肥皂和冷色荧光灯形成背景，画面中央站着两个男性人物，一个衣着普通神情疲惫，一个穿红色皮夹克姿态挑衅，事件表现为地下搏击组织和反消费叛乱失控，中心对称构图，中近景双人，胶片心理惊悚风格，红黑与脏粉色调，诡异、叛逆、危险氛围，粗粝颗粒，强阴影，真实质感，8K。","AI Draw 逆向工程《Fight Club》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中近景
人物位置：中间
事件：（用户自填）
年代：九十年代
场景：城市
风格：胶片
氛围：诡异
色调：红黑
构图：中心对称构图
事件维度固定留空，由用户自填。","中近景","中间","","九十年代","城市","胶片","诡异","红黑","中心对称构图"
